,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_degree,param_C,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.32326650619506836,0.05636498682865771,0.005419349670410157,0.004371900798446851,linear,4.0,1,,"{'kernel': 'linear', 'degree': 4, 'C': 1}",0.8364759581413729,0.840055477323095,0.8273229451516863,0.8345309286742894,0.8343263700950506,0.8345423358770988,0.004154515554283612,1
2,0.2974134922027588,0.0041058279541073715,0.004740428924560547,0.0034936811580617653,linear,3.0,1,,"{'kernel': 'linear', 'degree': 3, 'C': 1}",0.8364759581413729,0.840055477323095,0.8273229451516863,0.8345309286742894,0.8343263700950506,0.8345423358770988,0.004154515554283612,1
5,0.2977581024169922,0.004575585660788602,0.003920269012451172,0.00013861660289730992,linear,3.0,10,,"{'kernel': 'linear', 'degree': 3, 'C': 10}",0.8364759581413729,0.840055477323095,0.8273229451516863,0.8345309286742894,0.8343263700950506,0.8345423358770988,0.004154515554283612,1
6,0.292002534866333,0.006474821039571007,0.005021524429321289,0.0035860274840616418,linear,3.0,100,,"{'kernel': 'linear', 'degree': 3, 'C': 100}",0.8364759581413729,0.840055477323095,0.8273229451516863,0.8345309286742894,0.8343263700950506,0.8345423358770988,0.004154515554283612,1
7,0.2992307186126709,0.00612151884256766,0.0031803131103515627,0.0017043042867172936,linear,4.0,100,,"{'kernel': 'linear', 'degree': 4, 'C': 100}",0.8364759581413729,0.840055477323095,0.8273229451516863,0.8345309286742894,0.8343263700950506,0.8345423358770988,0.004154515554283612,1
3,0.2863304138183594,0.004781346681470206,0.00490422248840332,0.004607973272335562,rbf,,1,0.001,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 1}",0.8376524972718229,0.8385194406998514,0.8257235765947798,0.8323007287145219,0.834140891483713,0.8336674269529378,0.004574267462584494,6
4,0.297411584854126,0.0037228193040878166,0.005202150344848633,0.0023285636171514277,rbf,,10,0.001,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 10}",0.8376524972718229,0.8385194406998514,0.8257235765947798,0.8323007287145219,0.834140891483713,0.8336674269529378,0.004574267462584494,6
1,0.3030078411102295,0.005569915113813384,0.004026556015014648,0.0022826576498667472,rbf,,10,0.01,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 10}",0.8331102689262733,0.8350723278276959,0.8267108512252295,0.8340826542686399,0.8351973843537257,0.8328346973203129,0.0031535411066477633,8
8,0.29345064163208007,0.0038800266003796006,0.004846000671386718,0.0037179838783470177,poly,2.0,1,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 2, 'C': 1}",0.8331102689262733,0.8350723278276959,0.8267108512252295,0.8340826542686399,0.8351973843537257,0.8328346973203129,0.0031535411066477633,8
9,0.3011335849761963,0.005635739690872633,0.0031994342803955077,0.002004370480613392,rbf,,1,0.01,"{'kernel': 'rbf', 'gamma': 0.01, 'C': 1}",0.8331102689262733,0.8350723278276959,0.8267108512252295,0.8340826542686399,0.8351973843537257,0.8328346973203129,0.0031535411066477633,8
10,0.2969799518585205,0.004029187070033249,0.001716947555541992,0.0021527055652805797,poly,3.0,1,0.01,"{'kernel': 'poly', 'gamma': 0.01, 'degree': 3, 'C': 1}",0.8331102689262733,0.8350723278276959,0.8267108512252295,0.8340826542686399,0.8351973843537257,0.8328346973203129,0.0031535411066477633,8
