,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
20,2,504,0.19907727241516113,0.00384995124277763,0.007012557983398437,0.002688575650083361,10,3.0,poly,0.01,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.23432958126068115,0.08582955598831177,0.1906183958053589,0.23004162311553955,-0.006099700927734375,0.1469438910484314,0.09338764081947754,1,0.9443303942680359,0.9596957564353943,0.9562209844589233,0.9596005082130432,0.954555094242096,0.9548805475234985,0.005633341646057395
19,2,504,0.21413607597351075,0.01736032842681971,0.006029319763183594,0.0042066013460654505,10,2.0,poly,0.01,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.23432958126068115,0.08582955598831177,0.1906183958053589,0.23004162311553955,-0.006099700927734375,0.1469438910484314,0.09338764081947754,1,0.9443303942680359,0.9596957564353943,0.9562209844589233,0.9596005082130432,0.954555094242096,0.9548805475234985,0.005633341646057395
18,1,168,0.17562580108642578,0.004312302076624737,0.006637430191040039,0.004029610598910277,10,3.0,poly,0.01,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.3592991828918457,-0.15756797790527344,0.16152405738830566,0.14924395084381104,0.16872930526733398,0.1362457036972046,0.16609784347957085,3,0.9702600836753845,0.9855983257293701,0.9788927435874939,0.9816223978996277,0.9833197593688965,0.9799386620521545,0.005311636343699318
17,1,168,0.17169294357299805,0.001309714080445662,0.009229040145874024,0.000982481934334752,10,2.0,poly,0.01,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.3592991828918457,-0.15756797790527344,0.16152405738830566,0.14924395084381104,0.16872930526733398,0.1362457036972046,0.16609784347957085,3,0.9702600836753845,0.9855983257293701,0.9788927435874939,0.9816223978996277,0.9833197593688965,0.9799386620521545,0.005311636343699318
16,1,168,0.17267942428588867,0.004156301013478789,0.003860807418823242,0.0048396027517742714,1,3.0,poly,0.01,"{'C': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.3592991828918457,-0.15756797790527344,0.16152405738830566,0.14924395084381104,0.16872930526733398,0.1362457036972046,0.16609784347957085,3,0.9702600836753845,0.9855983257293701,0.9788927435874939,0.9816223978996277,0.9833197593688965,0.9799386620521545,0.005311636343699318
15,1,168,0.16445188522338866,0.004792984929779817,0.006292390823364258,0.003183373951341848,1,2.0,poly,0.01,"{'C': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.3592991828918457,-0.15756797790527344,0.16152405738830566,0.14924395084381104,0.16872930526733398,0.1362457036972046,0.16609784347957085,3,0.9702600836753845,0.9855983257293701,0.9788927435874939,0.9816223978996277,0.9833197593688965,0.9799386620521545,0.005311636343699318
14,1,168,0.16320695877075195,0.0060233328170269124,0.0041637420654296875,0.0037239987461421538,10,,rbf,0.01,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.3592991828918457,-0.15756797790527344,0.16152405738830566,0.14924395084381104,0.16872930526733398,0.1362457036972046,0.16609784347957085,3,0.9702600836753845,0.9855983257293701,0.9788927435874939,0.9816223978996277,0.9833197593688965,0.9799386620521545,0.005311636343699318
13,0,56,0.14756956100463867,0.005121664617611317,0.008035850524902344,0.0031126719726217553,10,3.0,poly,0.01,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.07619714736938477,-1.484760046005249,0.0,0.261081337928772,0.40680742263793945,-0.14813482761383057,0.6832648838990403,8,0.9911453127861023,0.989584743976593,0.9871319532394409,0.9933502078056335,0.9871945381164551,0.989681351184845,0.002378936508093121
12,0,56,0.14448895454406738,0.0033519499419312044,0.009774351119995117,0.000717381285005006,10,2.0,poly,0.01,"{'C': 10, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.07619714736938477,-1.484760046005249,0.0,0.261081337928772,0.40680742263793945,-0.14813482761383057,0.6832648838990403,8,0.9911453127861023,0.989584743976593,0.9871319532394409,0.9933502078056335,0.9871945381164551,0.989681351184845,0.002378936508093121
11,0,56,0.13907265663146973,0.002720787601683437,0.00989704132080078,0.0028551153480716744,1,3.0,poly,0.01,"{'C': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.07619714736938477,-1.484760046005249,0.0,0.261081337928772,0.40680742263793945,-0.14813482761383057,0.6832648838990403,8,0.9911453127861023,0.989584743976593,0.9871319532394409,0.9933502078056335,0.9871945381164551,0.989681351184845,0.002378936508093121
10,0,56,0.12789883613586425,0.004315505493716545,0.007611989974975586,0.0029446028513168995,1,2.0,poly,0.01,"{'C': 1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.07619714736938477,-1.484760046005249,0.0,0.261081337928772,0.40680742263793945,-0.14813482761383057,0.6832648838990403,8,0.9911453127861023,0.989584743976593,0.9871319532394409,0.9933502078056335,0.9871945381164551,0.989681351184845,0.002378936508093121
8,0,56,0.10515017509460449,0.007885426798462367,0.005985260009765625,0.0033334317838836,10,,rbf,0.01,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.07619714736938477,-1.484760046005249,0.0,0.261081337928772,0.40680742263793945,-0.14813482761383057,0.6832648838990403,8,0.9911453127861023,0.989584743976593,0.9871319532394409,0.9933502078056335,0.9871945381164551,0.989681351184845,0.002378936508093121
6,0,56,0.10073709487915039,0.006074999190224741,0.009004163742065429,0.0031052085131596475,1,,rbf,0.01,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}",0.07619714736938477,-1.484760046005249,0.0,0.261081337928772,0.40680742263793945,-0.14813482761383057,0.6832648838990403,8,0.9911453127861023,0.989584743976593,0.9871319532394409,0.9933502078056335,0.9871945381164551,0.989681351184845,0.002378936508093121
7,0,56,0.10887732505798339,0.003122998754621156,0.006418418884277344,0.0036729975863591833,1,,rbf,0.001,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.004661917686462402,-1.603557825088501,0.0,0.2380874752998352,0.3825518488883972,-0.19565131664276122,0.7187563991146695,14,0.9982960820198059,0.9987348318099976,0.9979926943778992,0.9989566206932068,0.9985701441764832,0.9985100746154785,0.0003367499634512897
9,0,56,0.11754469871520996,0.009837183025877952,0.005408287048339844,0.0027999043736452525,10,,rbf,0.001,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.004661917686462402,-1.603557825088501,0.0,0.2380874752998352,0.3825518488883972,-0.19565131664276122,0.7187563991146695,14,0.9982960820198059,0.9987348318099976,0.9979926943778992,0.9989566206932068,0.9985701441764832,0.9985100746154785,0.0003367499634512897
5,0,56,0.13268718719482422,0.0027200079811490444,0.007227563858032226,0.0027262670877788893,100,4.0,linear,,"{'C': 100, 'degree': 4, 'kernel': 'linear'}",0.0032732486724853516,-1.623605728149414,0.0,0.23872435092926025,0.3895362615585327,-0.19841437339782714,0.7277352226706899,16,0.9999977350234985,0.9999985098838806,0.9999977350234985,0.9999977946281433,0.9999980926513672,0.9999979734420776,2.992129420759948e-07
4,0,56,0.13543124198913575,0.0037199886374336367,0.007550811767578125,0.0029407622463212915,100,3.0,linear,,"{'C': 100, 'degree': 3, 'kernel': 'linear'}",0.0032732486724853516,-1.623605728149414,0.0,0.23872435092926025,0.3895362615585327,-0.19841437339782714,0.7277352226706899,16,0.9999977350234985,0.9999985098838806,0.9999977350234985,0.9999977946281433,0.9999980926513672,0.9999979734420776,2.992129420759948e-07
3,0,56,0.13283324241638184,0.003907885505345281,0.00769190788269043,0.003303497170598943,10,4.0,linear,,"{'C': 10, 'degree': 4, 'kernel': 'linear'}",0.0032732486724853516,-1.623605728149414,0.0,0.23872435092926025,0.3895362615585327,-0.19841437339782714,0.7277352226706899,16,0.9999977350234985,0.9999985098838806,0.9999977350234985,0.9999977946281433,0.9999980926513672,0.9999979734420776,2.992129420759948e-07
2,0,56,0.1325244903564453,0.0028124650510301294,0.0054743289947509766,0.005214618133917477,10,3.0,linear,,"{'C': 10, 'degree': 3, 'kernel': 'linear'}",0.0032732486724853516,-1.623605728149414,0.0,0.23872435092926025,0.3895362615585327,-0.19841437339782714,0.7277352226706899,16,0.9999977350234985,0.9999985098838806,0.9999977350234985,0.9999977946281433,0.9999980926513672,0.9999979734420776,2.992129420759948e-07
1,0,56,0.13196153640747071,0.0014883888869604322,0.00802750587463379,0.003362280502993949,1,4.0,linear,,"{'C': 1, 'degree': 4, 'kernel': 'linear'}",0.0032732486724853516,-1.623605728149414,0.0,0.23872435092926025,0.3895362615585327,-0.19841437339782714,0.7277352226706899,16,0.9999977350234985,0.9999985098838806,0.9999977350234985,0.9999977946281433,0.9999980926513672,0.9999979734420776,2.992129420759948e-07
0,0,56,0.1583387851715088,0.05661487398378107,0.00904998779296875,0.005492618608629818,1,3.0,linear,,"{'C': 1, 'degree': 3, 'kernel': 'linear'}",0.0032732486724853516,-1.623605728149414,0.0,0.23872435092926025,0.3895362615585327,-0.19841437339782714,0.7277352226706899,16,0.9999977350234985,0.9999985098838806,0.9999977350234985,0.9999977946281433,0.9999980926513672,0.9999979734420776,2.992129420759948e-07
